State,Name of the ULB,Total Population 2011
MEGHALAYA,Shillong (MB),143229
MIZORAM,Aizawl (NT),293416
NAGALAND,Dimapur (MC),122834
ODISHA,Sambalpur (M),184000
ODISHA,Raurkela (M),272721
ODISHA,Baripada (M),109743
ODISHA,Baleshwar (M),118162
ODISHA,Bhadrak (M),107463
ODISHA,Puri (M),200564
ODISHA,Brahmapur (M Corp.),356598
PUDUCHERRY,Puducherry (M),244377
PUDUCHERRY,Ozhukarai (M),300104
PUNJAB,Pathankot (M Cl),148937
PUNJAB,Batala (M Cl),156619
PUNJAB,Hoshiarpur (M Cl),168653
PUNJAB,Khanna (M Cl),128137
PUNJAB,Moga (M Cl),150411
PUNJAB,Firozpur (M Cl),110313
PUNJAB,Abohar (M Cl),145302
PUNJAB,Muktsar (M Cl),116747
PUNJAB,Bathinda (M Corp.),285788
PUNJAB,Patiala (M Corp.),406192
PUNJAB,S.A.S. Nagar (Mohali) (M Cl),146213
PUNJAB,Malerkotla (M Cl),135424
PUNJAB,Barnala (M Cl),116449
RAJASTHAN,Ganganagar (M Cl),224532
RAJASTHAN,Hanumangarh (M Cl),150958
RAJASTHAN,Churu (M Cl),119856
RAJASTHAN,Sujangarh (M),101523
RAJASTHAN,Jhunjhunun (M Cl),118473
RAJASTHAN,Bhiwadi (M),104921
RAJASTHAN,Alwar (M Cl),315379
RAJASTHAN,Bharatpur (M Cl)  ,252342
RAJASTHAN,Dhaulpur (M),125989
RAJASTHAN,Hindaun (M),105452
RAJASTHAN,Gangapur City (M),119090
RAJASTHAN,Sawai Madhopur (M),121106
RAJASTHAN,Sikar (M Cl),237532
RAJASTHAN,Nagaur (M),102872
RAJASTHAN,Pali (M Cl),230075
RAJASTHAN,Kishangarh (M Cl),154886
RAJASTHAN,Beawar (M Cl),145504
RAJASTHAN,Tonk (M Cl),165294
RAJASTHAN,Bundi (M),103286
RAJASTHAN,Bhilwara (M Cl),359483
RAJASTHAN,Chittaurgarh (M),116406
RAJASTHAN,Baran (M),117992
RAJASTHAN,Udaipur (M Cl),451100
SIKKIM,Gangtok (M Corp.),100286
TAMIL NADU,Avadi (M),345996
TAMIL NADU,Ambattur (M),466205
TAMIL NADU,Tiruvottiyur (M),249446
TAMIL NADU,Madavaram (M),119105
TAMIL NADU,Tambaram (M),174787
TAMIL NADU,Alandur (M),164430
TAMIL NADU,Pallavaram (M),215417
TAMIL NADU,Kancheepuram (M),164384
TAMIL NADU,Vellore (M. Corp),185803
TAMIL NADU,Ambur (M),114608
TAMIL NADU,Tiruvannamalai (M),145278
TAMIL NADU,Erode (M.Corp),157101
TAMIL NADU,Dindigul (M),207327
TAMIL NADU,Cuddalore (M),173636
TAMIL NADU,Nagapattinam (M),102905
TAMIL NADU,Kumbakonam (M),140156
TAMIL NADU,Thanjavur (M),222943
TAMIL NADU,Pudukkottai (M),117630
TAMIL NADU,Karaikkudi (M),106714
TAMIL NADU,Rajapalayam (M),130442
TAMIL NADU,Thoothukkudi (M Corp.),237830
TAMIL NADU,Tirunelveli (M Corp.),473637
TAMIL NADU,Nagercoil (M),224849
TAMIL NADU,Hosur (M),116821
TAMIL NADU,Kurichi (M),123667
TAMIL NADU,Tiruppur (M.Corp),444352
TELANGANA,Adilabad (M),117167
TELANGANA,Nizamabad (M Corp.),311152
TELANGANA,Ramagundam (M),229644
TELANGANA,Karimnagar (M Corp.),261185
TELANGANA,Mahbubnagar (M),157733
TELANGANA,Suryapet (M),105531
TELANGANA,Nalgonda (M),135744
TELANGANA,Miryalaguda (M),103817
TELANGANA,Khammam (M),184210
TRIPURA,Agartala (M Cl),400004
UTTAR PRADESH,Shamli (NPP),107266
UTTAR PRADESH,Muzaffarnagar (NPP),392768
UTTAR PRADESH,Sambhal (NPP),220813
UTTAR PRADESH,Chandausi (NPP),114383
UTTAR PRADESH,Rampur (NPP),325313
UTTAR PRADESH,Amroha (NPP),198471
UTTAR PRADESH,Baraut (NPP),103764
UTTAR PRADESH,Modinagar (NPP),130325
UTTAR PRADESH,Hapur (NPP),262983
UTTAR PRADESH,Bulandshahr (NPP),222519
UTTAR PRADESH,Khurja (NPP),111062
UTTAR PRADESH,Hathras (NPP),135594
UTTAR PRADESH,Mathura (NPP),349909
UTTAR PRADESH,Shikohabad (NPP),107404
UTTAR PRADESH,Mainpuri (NPP),120400
UTTAR PRADESH,Budaun (NPP),159285
UTTAR PRADESH,Pilibhit (NPP),127988
UTTAR PRADESH,Shahjahanpur (NPP),329736
UTTAR PRADESH,Lakhimpur (NPP),151993
UTTAR PRADESH,Sitapur (NPP),177234
UTTAR PRADESH,Hardoi (NPP),126851
UTTAR PRADESH,Unnao (NPP),177658
UTTAR PRADESH,Rae Bareli (NPP),191316
UTTAR PRADESH,Farrukhabad-cum-Fatehgarh (NPP),276581
UTTAR PRADESH,Etawah (NPP),256838
UTTAR PRADESH,Orai (NPP),187137
UTTAR PRADESH,Lalitpur (NPP),133305
UTTAR PRADESH,Banda (NPP),154428
UTTAR PRADESH,Fatehpur (NPP),193193
UTTAR PRADESH,Faizabad (NPP),165228
UTTAR PRADESH,Akbarpur (NPP),111447
UTTAR PRADESH,Sultanpur (NPP),107640
UTTAR PRADESH,Bahraich (NPP),186223
UTTAR PRADESH,Gonda (NPP),114046
UTTAR PRADESH,Basti (NPP),114657
UTTAR PRADESH,Deoria (NPP),129479
UTTAR PRADESH,Azamgarh (NPP),110983
UTTAR PRADESH,Maunath Bhanjan (NPP),278745
UTTAR PRADESH,Ballia (NPP),104424
UTTAR PRADESH,Jaunpur (NPP),180362
UTTAR PRADESH,Ghazipur (NPP),110587
UTTAR PRADESH,Mughalsarai (NPP),109650
UTTAR PRADESH,Mirzapur-cum-Vindhyachal (NPP),234871
UTTAR PRADESH,Etah (NPP),118517
UTTAR PRADESH,Kasganj (NPP),101277
UTTARAKHAND,Haldwani-cum-Kathgodam (NPP),156078
UTTARAKHAND,Kashipur (NPP),121623
UTTARAKHAND,Rudrapur (NPP),140857
UTTARAKHAND,Roorkee (NPP),118200
UTTARAKHAND,Hardwar (NPP),228832
WEST BENGAL,Darjiling (M),118805
WEST BENGAL,Jalpaiguri (M),107341
WEST BENGAL,Raiganj (M),183612
WEST BENGAL,Balurghat (M),151416
WEST BENGAL,English Bazar (M),205521
WEST BENGAL,Berhampore (M),195223
WEST BENGAL,Kulti (M),313809
WEST BENGAL,Jamuria (M),145276
WEST BENGAL,Raniganj (M),129441
WEST BENGAL,Barddhaman (M),314265
WEST BENGAL,Nabadwip (M),125543
WEST BENGAL,Krishnanagar (M),153062
WEST BENGAL,Santipur (M),151777
WEST BENGAL,Kalyani (M),100575
WEST BENGAL,Bongaon (M),108864
WEST BENGAL,Halisahar (M),124939
WEST BENGAL,Kanchrapara (M),120345
WEST BENGAL,Naihati (M),217900
WEST BENGAL,Bhatpara (M),383762
WEST BENGAL,Habra (M),147221
WEST BENGAL,Ashokenagar Kalyangarh (M),121592
WEST BENGAL,North Barrackpore (M),132806
WEST BENGAL,Barrackpore (M),152783
WEST BENGAL,Titagarh (M),116541
WEST BENGAL,Khardah (M),108496
WEST BENGAL,Panihati (M),377347
WEST BENGAL,Barasat (M),278435
WEST BENGAL,Madhyamgram (M),196127
WEST BENGAL,North DumDum (M),249142
WEST BENGAL,Kamarhati (M),330211
WEST BENGAL,Baranagar (M),245213
WEST BENGAL,Dum Dum (M),114786
WEST BENGAL,South DumDum (M),403316
WEST BENGAL,Rajarhat Gopalpur (M),402844
WEST BENGAL,Bidhannagar (M),215514
WEST BENGAL,Basirhat (M),125254
WEST BENGAL,Bansberia (M),103920
WEST BENGAL,Hugli-Chinsurah (M),177259
WEST BENGAL,Chandannagar (M Corp),166867
WEST BENGAL,Bhadreswar (M),101477
WEST BENGAL,Champdani (M),111251
WEST BENGAL,Baidyabati (M),121110
WEST BENGAL,Serampore (M),181842
WEST BENGAL,Rishra (M),124577
WEST BENGAL,Uttarpara Kotrung (M),159147
WEST BENGAL,Bankura (M),137386
